AT1G01240	chr1_99394_99893
AT1G08660	chr1_2759795_2760294
AT1G09180	chr1_2964523_2965022
AT1G09470	chr1_3057444_3057943
AT1G09480	chr1_3057475_3057974
AT1G09486	chr1_3063732_3064231
AT1G09490	chr1_3063624_3064123
AT1G09500	chr1_3066199_3066698
AT1G09795	chr1_3173034_3173533
AT1G09850	chr1_3201299_3201798
AT1G09870	chr1_3205241_3205740
AT1G10090	chr1_3296199_3296698
AT1G10130	chr1_3310430_3310929
AT1G10350	chr1_3395056_3395555
AT1G10430	chr1_3430634_3431133
AT1G10522	chr1_3469080_3469579
AT1G10560	chr1_3484080_3484579
AT1G10600	chr1_3503204_3503703
AT1G11020	chr1_3676191_3676690
AT1G11180	chr1_3745274_3745773
AT1G11210	chr1_3756999_3757498
AT1G11220	chr1_3761166_3761665
AT1G11480	chr1_3866970_3867469
AT1G11720	chr1_3951053_3951552
AT1G11850	chr1_3998699_3999198
AT1G11870	chr1_4003346_4003845
AT1G11880	chr1_4010434_4010933
AT1G11890	chr1_4010279_4010778
AT1G11960	chr1_4043881_4044380
AT1G12250	chr1_4158765_4159264
AT1G12370	chr1_4208952_4209451
AT1G12460	chr1_4246749_4247248
AT1G12570	chr1_4280863_4281362
AT1G12640	chr1_4305799_4306298
AT1G12800	chr1_4365332_4365831
AT1G12810	chr1_4366756_4367255
AT1G12920	chr1_4398194_4398693
AT1G12990	chr1_4433140_4433639
AT1G13000	chr1_4439477_4439976
AT1G13080	chr1_4458666_4459165
AT1G13250	chr1_4530064_4530563
AT1G13260	chr1_4541668_4542167
AT1G13560	chr1_4642105_4642604
AT1G13570	chr1_4644423_4644922
AT1G13700	chr1_4696024_4696523
AT1G13740	chr1_4713174_4713673
AT1G13950	chr1_4773076_4773575
AT1G13970	chr1_4782543_4783042
AT1G14010	chr1_4801851_4802350
AT1G14120	chr1_4835090_4835589
AT1G14290	chr1_4881965_4882464
AT1G14360	chr1_4913153_4913652
AT1G14520	chr1_4970312_4970811
AT1G14530	chr1_4973727_4974226
AT1G15165	chr1_5220114_5220613
AT1G15170	chr1_5220141_5220640
AT1G15175	chr1_5224122_5224621
AT1G15180	chr1_5223885_5224384
AT1G15200	chr1_5231185_5231684
AT1G15215	chr1_5237565_5238064
AT1G15290	chr1_5264943_5265442
AT1G15330	chr1_5273846_5274345
AT1G15480	chr1_5317511_5318010
AT1G15720	chr1_5405525_5406024
AT1G15740	chr1_5410408_5410907
AT1G15750	chr1_5421034_5421533
AT1G16030	chr1_5504536_5505035
AT1G16190	chr1_5542652_5543151
AT1G16220	chr1_5548153_5548652
AT1G16300	chr1_5573810_5574309
AT1G16540	chr1_5658915_5659414
AT1G16560	chr1_5667884_5668383
AT1G16570	chr1_5673601_5674100
AT1G16590	chr1_5673295_5673794
AT1G16650	chr1_5687443_5687942
AT1G16710	chr1_5713719_5714218
AT1G16730	chr1_5727313_5727812
AT1G16740	chr1_5727190_5727689
AT1G16850	chr1_5765652_5766151
AT1G17120	chr1_5851453_5851952
AT1G17210	chr1_5884757_5885256
AT1G17230	chr1_5890824_5891323
AT1G17280	chr1_5920090_5920589
AT1G17285	chr1_5920274_5920773
AT1G17470	chr1_6002412_6002911
AT1G17760	chr1_6116618_6117117
AT1G18040	chr1_6209501_6210000
AT1G18070	chr1_6218341_6218840
AT1G18210	chr1_6268829_6269328
AT1G18320	chr1_6303860_6304359
AT1G18360	chr1_6319428_6319927
AT1G18400	chr1_6330898_6331397
AT1G18460	chr1_6351970_6352469
AT1G18500	chr1_6368847_6369346
AT1G18740	chr1_6463422_6463921
AT1G18900	chr1_6528484_6528983
AT1G18940	chr1_6543352_6543851
AT1G19080	chr1_6583741_6584240
AT1G19110	chr1_6601626_6602125
AT1G19140	chr1_6612517_6613016
AT1G19180	chr1_6621594_6622093
AT1G19310	chr1_6677674_6678173
AT1G19370	chr1_6694935_6695434
AT1G19396	chr1_6709278_6709777
AT1G19490	chr1_6754000_6754499
AT1G19580	chr1_6774260_6774759
AT1G19650	chr1_6799765_6800264
AT1G19700	chr1_6812664_6813163
AT1G19720	chr1_6822712_6823211
AT1G19860	chr1_6894737_6895236
AT1G19970	chr1_6932690_6933189
AT1G19980	chr1_6932516_6933015
AT1G20070	chr1_6959124_6959623
AT1G20100	chr1_6970957_6971456
AT1G20110	chr1_6970985_6971484
AT1G20490	chr1_7099696_7100195
AT1G20510	chr1_7105882_7106381
AT1G20610	chr1_7137782_7138281
AT1G20670	chr1_7168022_7168521
AT1G20890	chr1_7267324_7267823
AT1G21370	chr1_7483281_7483780
AT1G21410	chr1_7496641_7497140
AT1G21750	chr1_7645200_7645699
AT1G21770	chr1_7652289_7652788
AT1G21920	chr1_7706141_7706640
AT1G22270	chr1_7864981_7865480
AT1G22310	chr1_7883743_7884242
AT1G22360	chr1_7897592_7898091
AT1G22370	chr1_7899880_7900379
AT1G22380	chr1_7902333_7902832
AT1G22400	chr1_7906674_7907173
AT1G22440	chr1_7921928_7922427
AT1G22710	chr1_8033118_8033617
AT1G22860	chr1_8082900_8083399
AT1G22940	chr1_8121839_8122338
AT1G23020	chr1_8153531_8154030
AT1G23120	chr1_8198220_8198719
AT1G23190	chr1_8219369_8219868
AT1G23480	chr1_8332520_8333019
AT1G23710	chr1_8384751_8385250
AT1G23750	chr1_8399651_8400150
AT1G24170	chr1_8558833_8559332
AT1G24320	chr1_8630972_8631471
AT1G24330	chr1_8630940_8631439
AT1G24460	chr1_8665374_8665873
AT1G24530	chr1_8692727_8693226
AT1G25220	chr1_8839550_8840049
AT1G25350	chr1_8894262_8894761
AT1G25375	chr1_8903258_8903757
AT1G25520	chr1_8961625_8962124
AT1G26690	chr1_9225776_9226275
AT1G26761	chr1_9251645_9252144
AT1G26800	chr1_9286325_9286824
AT1G27000	chr1_9373426_9373925
AT1G27050	chr1_9393190_9393689
AT1G27595	chr1_9595860_9596359
AT1G27600	chr1_9606102_9606601
AT1G27670	chr1_9628497_9628996
AT1G27700	chr1_9641902_9642401
AT1G27730	chr1_9649074_9649573
AT1G28360	chr1_9951348_9951847
AT1G28370	chr1_9956941_9957440
AT1G28530	chr1_10035501_10036000
AT1G28540	chr1_10035164_10035663
AT1G28960	chr1_10111661_10112160
AT1G29060	chr1_10147193_10147692
AT1G29310	chr1_10251794_10252293
AT1G29330	chr1_10261113_10261612
AT1G29395	chr1_10289622_10290121
AT1G29785	chr1_10429134_10429633
AT1G30260	chr1_10650551_10651050
AT1G30290	chr1_10672741_10673240
AT1G30300	chr1_10672498_10672997
AT1G30410	chr1_10738305_10738804
AT1G30550	chr1_10823660_10824159
AT1G30630	chr1_10860262_10860761
AT1G30640	chr1_10860155_10860654
AT1G30690	chr1_10887107_10887606
AT1G31230	chr1_11163275_11163774
AT1G31320	chr1_11212517_11213016
AT1G31410	chr1_11249360_11249859
AT1G31420	chr1_11249100_11249599
AT1G31710	chr1_11349340_11349839
AT1G31950	chr1_11475307_11475806
AT1G32120	chr1_11552426_11552925
AT1G32410	chr1_11693299_11693798
AT1G32550	chr1_11774188_11774687
AT1G32560	chr1_11773984_11774483
AT1G32640	chr1_11800989_11801488
AT1G32690	chr1_11821711_11822210
AT1G32730	chr1_11840410_11840909
AT1G32760	chr1_11857711_11858210
AT1G33060	chr1_11978522_11979021
AT1G33170	chr1_12026584_12027083
AT1G33240	chr1_12054547_12055046
AT1G33260	chr1_12064009_12064508
AT1G33290	chr1_12073599_12074098
AT1G33360	chr1_12091377_12091876
AT1G33390	chr1_12104602_12105101
AT1G33750	chr1_12233269_12233768
AT1G34630	chr1_12684700_12685199
AT1G34780	chr1_12750384_12750883
AT1G35430	chr1_13031153_13031652
AT1G36160	chr1_13532911_13533410
AT1G36622	chr1_13836955_13837454
AT1G42990	chr1_16137464_16137963
AT1G43160	chr1_16263313_16263812
AT1G43650	chr1_16446887_16447386
AT1G44350	chr1_16838287_16838786
AT1G44790	chr1_16913665_16914164
AT1G47380	chr1_17376076_17376575
AT1G47560	chr1_17466251_17466750
AT1G47720	chr1_17562884_17563383
AT1G47820	chr1_17611463_17611962
AT1G47970	chr1_17686769_17687268
AT1G47990	chr1_17698155_17698654
AT1G48100	chr1_17766374_17766873
AT1G48120	chr1_17779956_17780455
AT1G48130	chr1_17780002_17780501
AT1G48330	chr1_17863337_17863836
AT1G48360	chr1_17868150_17868649
AT1G48430	chr1_17906807_17907306
AT1G48840	chr1_18061021_18061520
AT1G48930	chr1_18104662_18105161
AT1G49450	chr1_18305041_18305540
AT1G49780	chr1_18430320_18430819
AT1G49870	chr1_18459712_18460211
AT1G50000	chr1_18517250_18517749
AT1G50110	chr1_18560275_18560774
AT1G50260	chr1_18621740_18622239
AT1G50270	chr1_18621526_18622025
AT1G50430	chr1_18685653_18686152
AT1G50440	chr1_18685277_18685776
AT1G50450	chr1_18690372_18690871
AT1G50575	chr1_18730410_18730909
AT1G50580	chr1_18730331_18730830
AT1G51140	chr1_18945754_18946253
AT1G51540	chr1_19115061_19115560
AT1G52040	chr1_19352783_19353282
AT1G52400	chr1_19514643_19515142
AT1G52510	chr1_19565273_19565772
AT1G52520	chr1_19565269_19565768
AT1G52618	chr1_19602647_19603146
AT1G52690	chr1_19619245_19619744
AT1G52710	chr1_19640240_19640739
AT1G52990	chr1_19743450_19743949
AT1G53163	chr1_19811762_19812261
AT1G53170	chr1_19822253_19822752
AT1G53510	chr1_19974394_19974893
AT1G53750	chr1_20068467_20068966
AT1G53770	chr1_20073759_20074258
AT1G53790	chr1_20081456_20081955
AT1G53800	chr1_20081199_20081698
AT1G53870	chr1_20111762_20112261
AT1G53890	chr1_20124327_20124826
AT1G54110	chr1_20198918_20199417
AT1G54200	chr1_20235212_20235711
AT1G54840	chr1_20454250_20454749
AT1G54850	chr1_20453889_20454388
AT1G55100	chr1_20559104_20559603
AT1G55140	chr1_20574349_20574848
AT1G55150	chr1_20573980_20574479
AT1G55180	chr1_20587630_20588129
AT1G55190	chr1_20587897_20588396
AT1G55240	chr1_20604416_20604915
AT1G55265	chr1_20616813_20617312
AT1G55370	chr1_20674283_20674782
AT1G55520	chr1_20728092_20728591
AT1G55530	chr1_20731284_20731783
AT1G55820	chr1_20863839_20864338
AT1G56120	chr1_20993073_20993572
AT1G56165	chr1_21024403_21024902
AT1G56170	chr1_21024264_21024763
AT1G56650	chr1_21235138_21235637
AT1G56710	chr1_21259934_21260433
AT1G57540	chr1_21311503_21312002
AT1G57600	chr1_21334728_21335227
AT1G58200	chr1_21553128_21553627
AT1G58210	chr1_21553121_21553620
AT1G58340	chr1_21652508_21653007
AT1G59620	chr1_21901784_21902283
AT1G59910	chr1_22057053_22057552
AT1G59980	chr1_22080289_22080788
AT1G60200	chr1_22205289_22205788
AT1G60260	chr1_22221410_22221909
AT1G60270	chr1_22224258_22224757
AT1G60430	chr1_22266039_22266538
AT1G60600	chr1_22327360_22327859
AT1G60620	chr1_22330606_22331105
AT1G60790	chr1_22382246_22382745
AT1G61065	chr1_22491462_22491961
AT1G61340	chr1_22627765_22628264
AT1G61780	chr1_22814154_22814653
AT1G61820	chr1_22834578_22835077
AT1G62280	chr1_23008586_23009085
AT1G62305	chr1_23029340_23029839
AT1G62310	chr1_23039610_23040109
AT1G62560	chr1_23159323_23159822
AT1G62590	chr1_23179249_23179748
AT1G62710	chr1_23226917_23227416
AT1G62870	chr1_23286761_23287260
AT1G62950	chr1_23314794_23315293
AT1G63240	chr1_23458662_23459161
AT1G63400	chr1_23506820_23507319
AT1G63720	chr1_23637530_23638029
AT1G64142	chr1_23807160_23807659
AT1G64150	chr1_23812678_23813177
AT1G64440	chr1_23936530_23937029
AT1G64460	chr1_23944681_23945180
AT1G64470	chr1_23945773_23946272
AT1G64660	chr1_24028418_24028917
AT1G64890	chr1_24109042_24109541
AT1G64950	chr1_24127061_24127560
AT1G64990	chr1_24146190_24146689
AT1G65040	chr1_24163629_24164128
AT1G65150	chr1_24205776_24206275
AT1G65500	chr1_24357367_24357866
AT1G65570	chr1_24375847_24376346
AT1G65690	chr1_24432954_24433453
AT1G65730	chr1_24442004_24442503
AT1G66130	chr1_24614462_24614961
AT1G66500	chr1_24812651_24813150
AT1G66510	chr1_24812337_24812836
AT1G66730	chr1_24884181_24884680
AT1G66760	chr1_24901478_24901977
AT1G66890	chr1_24957058_24957557
AT1G67300	chr1_25197090_25197589
AT1G67310	chr1_25203127_25203626
AT1G67590	chr1_25334648_25335147
AT1G67792	chr1_25417109_25417608
AT1G67880	chr1_25455736_25456235
AT1G67960	chr1_25484263_25484762
AT1G68110	chr1_25524218_25524717
AT1G68190	chr1_25558746_25559245
AT1G68400	chr1_25648947_25649446
AT1G68620	chr1_25765447_25765946
AT1G68650	chr1_25775241_25775740
AT1G69010	chr1_25941175_25941674
AT1G69020	chr1_25947198_25947697
AT1G69040	chr1_25957319_25957818
AT1G69330	chr1_26065506_26066005
AT1G69340	chr1_26065224_26065723
AT1G69370	chr1_26079456_26079955
AT1G69410	chr1_26088702_26089201
AT1G69450	chr1_26110268_26110767
AT1G69460	chr1_26113244_26113743
AT1G69480	chr1_26117798_26118297
AT1G69490	chr1_26121639_26122138
AT1G69870	chr1_26315527_26316026
AT1G69910	chr1_26329614_26330113
AT1G69960	chr1_26350698_26351197
AT1G70070	chr1_26394197_26394696
AT1G70090	chr1_26400290_26400789
AT1G70580	chr1_26612132_26612631
AT1G70590	chr1_26617821_26618320
AT1G70650	chr1_26637575_26638074
AT1G70700	chr1_26654268_26654767
AT1G70710	chr1_26663011_26663510
AT1G70950	chr1_26752189_26752688
AT1G71015	chr1_26790161_26790660
AT1G71080	chr1_26811843_26812342
AT1G71090	chr1_26811712_26812211
AT1G71350	chr1_26891232_26891731
AT1G71530	chr1_26939067_26939566
AT1G71697	chr1_26970723_26971222
AT1G71710	chr1_26981030_26981529
AT1G71880	chr1_27053680_27054179
AT1G71960	chr1_27088249_27088748
AT1G72040	chr1_27114343_27114842
AT1G72050	chr1_27114524_27115023
AT1G72140	chr1_27141314_27141813
AT1G72160	chr1_27155665_27156164
AT1G72170	chr1_27155835_27156334
AT1G72210	chr1_27179290_27179789
AT1G72250	chr1_27192345_27192844
AT1G72500	chr1_27298557_27299056
AT1G72650	chr1_27348967_27349466
AT1G72820	chr1_27402378_27402877
AT1G72990	chr1_27462393_27462892
AT1G73080	chr1_27484013_27484512
AT1G73170	chr1_27514798_27515297
AT1G73480	chr1_27628439_27628938
AT1G73500	chr1_27640530_27641029
AT1G73540	chr1_27646699_27647198
AT1G73670	chr1_27699550_27700049
AT1G73780	chr1_27743372_27743871
AT1G73860	chr1_27776858_27777357
AT1G73920	chr1_27790375_27790874
AT1G73965	chr1_27815297_27815796
AT1G73970	chr1_27816314_27816813
AT1G74090	chr1_27862409_27862908
AT1G74310	chr1_27940191_27940690
AT1G74320	chr1_27940173_27940672
AT1G74440	chr1_27980405_27980904
AT1G74450	chr1_27982009_27982508
AT1G74490	chr1_27996743_27997242
AT1G74510	chr1_28004865_28005364
AT1G74690	chr1_28064626_28065125
AT1G74700	chr1_28064766_28065265
AT1G74780	chr1_28095315_28095814
AT1G74850	chr1_28122315_28122814
AT1G74930	chr1_28143632_28144131
AT1G74950	chr1_28150445_28150944
AT1G75030	chr1_28173878_28174377
AT1G75060	chr1_28183504_28184003
AT1G75080	chr1_28185004_28185503
AT1G75140	chr1_28204280_28204779
AT1G75170	chr1_28213299_28213798
AT1G75180	chr1_28218802_28219301
AT1G75200	chr1_28223710_28224209
AT1G75210	chr1_28223369_28223868
AT1G75360	chr1_28274088_28274587
AT1G75440	chr1_28312987_28313486
AT1G75460	chr1_28327386_28327885
AT1G75490	chr1_28335002_28335501
AT1G75560	chr1_28373242_28373741
AT1G75760	chr1_28448647_28449146
AT1G75770	chr1_28449490_28449989
AT1G76060	chr1_28543851_28544350
AT1G76065	chr1_28545377_28545876
AT1G76240	chr1_28603930_28604429
AT1G76380	chr1_28654581_28655080
AT1G76440	chr1_28683751_28684250
AT1G76570	chr1_28728632_28729131
AT1G76660	chr1_28771410_28771909
AT1G77060	chr1_28953510_28954009
AT1G77090	chr1_28961923_28962422
AT1G77120	chr1_28974894_28975393
AT1G77200	chr1_29005092_29005591
AT1G77250	chr1_29023475_29023974
AT1G77260	chr1_29026958_29027457
AT1G77270	chr1_29027278_29027777
AT1G77290	chr1_29037875_29038374
AT1G77360	chr1_29073537_29074036
AT1G77370	chr1_29073343_29073842
AT1G77410	chr1_29093265_29093764
AT1G77450	chr1_29099454_29099953
AT1G77480	chr1_29117339_29117838
AT1G77510	chr1_29126150_29126649
AT1G77660	chr1_29187826_29188325
AT1G77680	chr1_29196288_29196787
AT1G77800	chr1_29252896_29253395
AT1G78000	chr1_29329235_29329734
AT1G78130	chr1_29399640_29400139
AT1G78560	chr1_29548825_29549324
AT1G78600	chr1_29566606_29567105
AT1G78650	chr1_29582429_29582928
AT1G78700	chr1_29598849_29599348
AT1G78895	chr1_29659977_29660476
AT1G78995	chr1_29716112_29716611
AT1G79060	chr1_29741248_29741747
AT1G79090	chr1_29753308_29753807
AT1G79150	chr1_29777990_29778489
AT1G79260	chr1_29812744_29813243
AT1G79280	chr1_29833017_29833516
AT1G79310	chr1_29833421_29833920
AT1G79350	chr1_29853415_29853914
AT1G79410	chr1_29869634_29870133
AT1G79440	chr1_29887413_29887912
AT1G79450	chr1_29887189_29887688
AT1G79470	chr1_29897167_29897666
AT1G79520	chr1_29914616_29915115
AT1G79530	chr1_29919235_29919734
AT1G79630	chr1_29965796_29966295
AT1G79650	chr1_29975282_29975781
AT1G79720	chr1_29999046_29999545
AT1G79770	chr1_30013861_30014360
AT1G80110	chr1_30134881_30135380
AT1G80120	chr1_30138601_30139100
AT1G80160	chr1_30150503_30151002
AT1G80245	chr1_30173678_30174177
AT1G80300	chr1_30191356_30191855
AT1G80420	chr1_30238536_30239035
AT1G80460	chr1_30249306_30249805
AT1G80530	chr1_30280325_30280824
AT2G01150	chr2_100149_100648
AT2G01275	chr2_144525_145024
AT2G01320	chr2_158183_158682
AT2G01420	chr2_183329_183828
AT2G01430	chr2_190370_190869
AT2G01720	chr2_320265_320764
AT2G01730	chr2_319978_320477
AT2G01918	chr2_425714_426213
AT2G01980	chr2_456510_457009
AT2G02160	chr2_556114_556613
AT2G02180	chr2_560364_560863
AT2G02410	chr2_632134_632633
AT2G02810	chr2_801030_801529
AT2G03470	chr2_1047685_1048184
AT2G03820	chr2_1167030_1167529
AT2G04100	chr2_1379131_1379630
AT2G04350	chr2_1515305_1515804
AT2G04400	chr2_1530648_1531147
AT2G04550	chr2_1587860_1588359
AT2G04865	chr2_1711096_1711595
AT2G05160	chr2_1861896_1862395
AT2G06040	chr2_2355560_2356059
AT2G07050	chr2_2923947_2924446
AT2G07360	chr2_3057197_3057696
AT2G11880	chr2_4799643_4800142
AT2G13560	chr2_5649464_5649963
AT2G13610	chr2_5675832_5676331
AT2G14530	chr2_6186921_6187420
AT2G14740	chr2_6308395_6308894
AT2G14850	chr2_6385372_6385871
AT2G15480	chr2_6758181_6758680
AT2G15490	chr2_6761135_6761634
AT2G16005	chr2_6960198_6960697
AT2G16630	chr2_7208739_7209238
AT2G16980	chr2_7375849_7376348
AT2G17350	chr2_7546375_7546874
AT2G17570	chr2_7643553_7644052
AT2G17790	chr2_7733135_7733634
AT2G17870	chr2_7765231_7765730
AT2G18000	chr2_7828535_7829034
AT2G18090	chr2_7863814_7864313
AT2G18120	chr2_7877682_7878181
AT2G18170	chr2_7909924_7910423
AT2G18193	chr2_7919278_7919777
AT2G18240	chr2_7934785_7935284
AT2G18780	chr2_8138119_8138618
AT2G18790	chr2_8139381_8139880
AT2G18840	chr2_8157698_8158197
AT2G18876	chr2_8169046_8169545
AT2G18950	chr2_8206842_8207341
AT2G18990	chr2_8240003_8240502
AT2G19580	chr2_8475154_8475653
AT2G19660	chr2_8498709_8499208
AT2G20250	chr2_8736578_8737077
AT2G20340	chr2_8779235_8779734
AT2G20370	chr2_8791486_8791985
AT2G20480	chr2_8831534_8832033
AT2G20515	chr2_8839701_8840200
AT2G20610	chr2_8880389_8880888
AT2G20724	chr2_8933263_8933762
AT2G21080	chr2_9043199_9043698
AT2G21140	chr2_9062092_9062591
AT2G21300	chr2_9119947_9120446
AT2G21430	chr2_9173340_9173839
AT2G21470	chr2_9198069_9198568
AT2G21640	chr2_9253959_9254458
AT2G21650	chr2_9259083_9259582
AT2G21820	chr2_9303248_9303747
AT2G21830	chr2_9303213_9303712
AT2G21860	chr2_9320003_9320502
AT2G21880	chr2_9326322_9326821
AT2G22010	chr2_9369462_9369961
AT2G22190	chr2_9436545_9437044
AT2G22300	chr2_9470825_9471324
AT2G22470	chr2_9538880_9539379
AT2G22530	chr2_9577442_9577941
AT2G22730	chr2_9660464_9660963
AT2G22770	chr2_9684225_9684724
AT2G22840	chr2_9728256_9728755
AT2G22900	chr2_9746293_9746792
AT2G23320	chr2_9924433_9924932
AT2G23348	chr2_9942815_9943314
AT2G23410	chr2_9967773_9968272
AT2G23430	chr2_9978022_9978521
AT2G23460	chr2_9994978_9995477
AT2G23590	chr2_10036001_10036500
AT2G23790	chr2_10127522_10128021
AT2G24050	chr2_10228639_10229138
AT2G24100	chr2_10244386_10244885
AT2G24150	chr2_10267406_10267905
AT2G24360	chr2_10366903_10367402
AT2G24390	chr2_10373070_10373569
AT2G24420	chr2_10379526_10380025
AT2G25110	chr2_10683635_10684134
AT2G25660	chr2_10927391_10927890
AT2G25780	chr2_10994641_10995140
AT2G25880	chr2_11036911_11037410
AT2G25890	chr2_11036880_11037379
AT2G26040	chr2_11095405_11095904
AT2G26140	chr2_11135346_11135845
AT2G26150	chr2_11135182_11135681
AT2G26540	chr2_11290361_11290860
AT2G26740	chr2_11394280_11394779
AT2G27350	chr2_11704273_11704772
AT2G28260	chr2_12049489_12049988
AT2G28470	chr2_12173680_12174179
AT2G28780	chr2_12343422_12343921
AT2G28890	chr2_12408236_12408735
AT2G29070	chr2_12486774_12487273
AT2G29330	chr2_12594090_12594589
AT2G29390	chr2_12612895_12613394
AT2G29560	chr2_12646060_12646559
AT2G30150	chr2_12874206_12874705
AT2G30260	chr2_12907510_12908009
AT2G30390	chr2_12954115_12954614
AT2G30790	chr2_13120091_13120590
AT2G31010	chr2_13193685_13194184
AT2G31130	chr2_13266561_13267060
AT2G31230	chr2_13307476_13307975
AT2G31820	chr2_13529850_13530349
AT2G31980	chr2_13609903_13610402
AT2G32020	chr2_13631769_13632268
AT2G32415	chr2_13765457_13765956
AT2G32510	chr2_13799940_13800439
AT2G33050	chr2_14021370_14021869
AT2G33180	chr2_14065963_14066462
AT2G33380	chr2_14146472_14146971
AT2G33700	chr2_14252924_14253423
AT2G33847	chr2_14320592_14321091
AT2G34450	chr2_14529493_14529992
AT2G34560	chr2_14559663_14560162
AT2G34650	chr2_14591789_14592288
AT2G34770	chr2_14665167_14665666
AT2G35170	chr2_14826963_14827462
AT2G35300	chr2_14863388_14863887
AT2G35620	chr2_14965498_14965997
AT2G35630	chr2_14966178_14966677
AT2G35680	chr2_14999086_14999585
AT2G35738	chr2_15023059_15023558
AT2G35800	chr2_15043545_15044044
AT2G35820	chr2_15050412_15050911
AT2G35840	chr2_15053123_15053622
AT2G35930	chr2_15084474_15084973
AT2G35950	chr2_15104261_15104760
AT2G36030	chr2_15127772_15128271
AT2G36080	chr2_15151576_15152075
AT2G36270	chr2_15207529_15208028
AT2G36390	chr2_15263737_15264236
AT2G36885	chr2_15483712_15484211
AT2G36895	chr2_15490348_15490847
AT2G36960	chr2_15522420_15522919
AT2G37060	chr2_15575524_15576023
AT2G37240	chr2_15641764_15642263
AT2G37250	chr2_15641406_15641905
AT2G37260	chr2_15644340_15644839
AT2G37320	chr2_15666708_15667207
AT2G37478	chr2_15737342_15737841
AT2G37480	chr2_15737342_15737841
AT2G37650	chr2_15792123_15792622
AT2G37860	chr2_15856130_15856629
AT2G38000	chr2_15905392_15905891
AT2G38025	chr2_15916734_15917233
AT2G38040	chr2_15916593_15917092
AT2G38060	chr2_15925624_15926123
AT2G38130	chr2_15980750_15981249
AT2G38465	chr2_16106914_16107413
AT2G38560	chr2_16134138_16134637
AT2G38610	chr2_16149874_16150373
AT2G38650	chr2_16165797_16166296
AT2G38660	chr2_16165452_16165951
AT2G38740	chr2_16196114_16196613
AT2G38820	chr2_16221336_16221835
AT2G38980	chr2_16279355_16279854
AT2G39170	chr2_16336211_16336710
AT2G39260	chr2_16399681_16400180
AT2G39270	chr2_16399472_16399971
AT2G39350	chr2_16432558_16433057
AT2G39440	chr2_16469629_16470128
AT2G39805	chr2_16612555_16613054
AT2G39810	chr2_16612300_16612799
AT2G39920	chr2_16664540_16665039
AT2G39930	chr2_16665523_16666022
AT2G40120	chr2_16757593_16758092
AT2G40200	chr2_16790598_16791097
AT2G40300	chr2_16833281_16833780
AT2G40470	chr2_16903653_16904152
AT2G40540	chr2_16930364_16930863
AT2G40810	chr2_17031964_17032463
AT2G40830	chr2_17042152_17042651
AT2G40860	chr2_17057183_17057682
AT2G41010	chr2_17114805_17115304
AT2G41150	chr2_17153344_17153843
AT2G41240	chr2_17199321_17199820
AT2G41312	chr2_17225023_17225522
AT2G41520	chr2_17316985_17317484
